h3_start,hour,trip_count
892a100136bffff,9,5
892a100136bffff,10,12
892a100136bffff,11,8
892a100136bffff,12,10
892a100136bffff,13,5
892a100136bffff,14,10
892a100136bffff,15,9
892a100136bffff,16,6
892a100136bffff,17,7
892a100136bffff,18,8
892a100136bffff,19,6
892a100136bffff,20,9
892a100136bffff,21,4
892a100136bffff,22,3
892a100136bffff,23,3
892a100136fffff,0,3
892a100136fffff,1,1
892a100136fffff,2,1
892a100136fffff,5,1
892a100136fffff,8,1
892a100136fffff,9,7
892a100136fffff,10,4
892a100136fffff,11,3
892a100136fffff,12,11
892a100136fffff,13,7
892a100136fffff,14,9
892a100136fffff,15,9
892a100136fffff,16,4
892a100136fffff,17,3
892a100136fffff,18,4
892a100136fffff,19,5
892a100136fffff,20,3
892a100136fffff,21,3
892a100136fffff,22,1
892a100137bffff,0,11
892a100137bffff,6,1
892a100137bffff,7,1
892a100137bffff,8,1
892a100137bffff,9,3
892a100137bffff,10,5
892a100137bffff,11,1
892a100137bffff,12,3
892a100137bffff,14,8
892a100137bffff,15,3
892a100137bffff,16,4
892a100137bffff,17,4
892a100137bffff,18,4
892a100137bffff,19,2
892a100137bffff,20,5
892a100137bffff,21,3
892a100137bffff,22,4
892a100137bffff,23,3
892a1008807ffff,0,384
892a1008807ffff,1,268
892a1008807ffff,2,173
892a1008807ffff,3,110
892a1008807ffff,4,87
892a1008807ffff,5,263
892a1008807ffff,6,531
892a1008807ffff,7,1024
892a1008807ffff,8,1650
892a1008807ffff,9,1000
892a1008807ffff,10,946
892a1008807ffff,11,960
892a1008807ffff,12,1019
892a1008807ffff,13,1114
892a1008807ffff,14,1283
892a1008807ffff,15,1298
892a1008807ffff,16,1363
892a1008807ffff,17,1692
892a1008807ffff,18,1590
892a1008807ffff,19,1407
892a1008807ffff,20,962
892a1008807ffff,21,840
892a1008807ffff,22,667
892a1008807ffff,23,489
892a1008813ffff,0,70
892a1008813ffff,1,34
892a1008813ffff,2,17
892a1008813ffff,3,10
892a1008813ffff,4,28
892a1008813ffff,5,74
892a1008813ffff,6,142
892a1008813ffff,7,487
892a1008813ffff,8,885
892a1008813ffff,9,629
892a1008813ffff,10,478
892a1008813ffff,11,537
892a1008813ffff,12,587
892a1008813ffff,13,646
892a1008813ffff,14,746
892a1008813ffff,15,769
892a1008813ffff,16,738
892a1008813ffff,17,919
892a1008813ffff,18,862
892a1008813ffff,19,726
892a1008813ffff,20,587
892a1008813ffff,21,267
892a1008813ffff,22,147
892a1008813ffff,23,96
892a1008817ffff,0,260
892a1008817ffff,1,128
892a1008817ffff,2,76
892a1008817ffff,3,44
892a1008817ffff,4,97
892a1008817ffff,5,117
892a1008817ffff,6,429
892a1008817ffff,7,1227
892a1008817ffff,8,1073
892a1008817ffff,9,594
892a1008817ffff,10,671
892a1008817ffff,11,709
892a1008817ffff,12,782
892a1008817ffff,13,916
892a1008817ffff,14,951
892a1008817ffff,15,1065
892a1008817ffff,16,1099
892a1008817ffff,17,1285
892a1008817ffff,18,1207
892a1008817ffff,19,1030
892a1008817ffff,20,851
892a1008817ffff,21,594
892a1008817ffff,22,479
892a1008817ffff,23,315
892a1008823ffff,0,88
892a1008823ffff,1,42
892a1008823ffff,2,26
892a1008823ffff,3,19
892a1008823ffff,4,8
892a1008823ffff,5,59
892a1008823ffff,6,234
892a1008823ffff,7,451
892a1008823ffff,8,607
892a1008823ffff,9,358
892a1008823ffff,10,278
892a1008823ffff,11,311
892a1008823ffff,12,312
892a1008823ffff,13,400
892a1008823ffff,14,373
892a1008823ffff,15,566
892a1008823ffff,16,462
892a1008823ffff,17,520
892a1008823ffff,18,508
892a1008823ffff,19,421
892a1008823ffff,20,302
892a1008823ffff,21,274
892a1008823ffff,22,200
892a1008823ffff,23,116
892a1008827ffff,0,117
892a1008827ffff,1,61
892a1008827ffff,2,24
892a1008827ffff,3,17
892a1008827ffff,4,6
892a1008827ffff,5,161
